13107200    .0768703334 .0000001534 .0003916631 .0002261267 -710.915039 -710.915081 0.000042 0.000006         
13369344    .0781260000 .0000002215 .0004706378 .0002717228 191.004395 191.004267 0.000127 0.000067         
13631488    .0790570000 .0000001898 .0004356604 .0002515286 789.156494 789.156115 0.000379 0.000048         
13893632    .0810506667 .0000005525 .0007433034 .0004291464 725.188354 725.187940 0.000414 0.000057         
14155776    .0813880000 .0000001024 .0003200000 .0001847520 1402.300049 1402.299472 0.000577 0.000041         
14417920    .0830486666 .0000000761 .0002758622 .0001592691 1268.305908 1268.305321 0.000587 0.000046         
14680064    .0850273333 .0000017613 .0013271397 .0007662244 1920.742920 1920.742349 0.000571 0.000030         
14942208    .0852490000 .0000001040 .0003224903 .0001861898 2080.349609 2080.349243 0.000367 0.000018         
15204352    .0865003334 .0000001701 .0004124318 .0002381176 1432.230835 1432.230262 0.000573 0.000040         
15466496    .0875893333 .0000000607 .0002463736 .0001422438 1658.644165 1658.644151 0.000014 0.000001         
15728640    .0884703333 .0000000197 .0001403566 .0000810349 1427.140015 1427.140417 0.000402 0.000028         
15990784    .0896726667 .0000003577 .0005980802 .0003453017 889.054077 889.054637 0.000560 0.000063         
16252928    .0911680000 .0000001088 .0003298484 .0001904380 1110.448853 1110.449351 0.000499 0.000045         
16515072    .0923753333 .0000000125 .0001118033 .0000645496 1124.436157 1124.436738 0.000581 0.000052         
16777216    .0934400000 .0000000507 .0002251666 .0001299999 1155.119995 1155.120385 0.000390 0.000034         
17039360    .0948406666 .0000001447 .0003803945 .0002196208 1676.579468 1676.578908 0.000560 0.000033         
17301504    .0961130000 .0000002157 .0004644351 .0002681417 1604.003418 1604.003533 0.000115 0.000007         
17563648    .0969506667 .0000001156 .0003400000 .0001962990 1486.240723 1486.240993 0.000270 0.000018         
17825792    .0982476666 .0000003813 .0006174949 .0003565108 1586.247070 1586.247348 0.000278 0.000018         
18087936    .0995540000 .0000000455 .0002133072 .0001231529 2001.004639 2001.005201 0.000562 0.000028         
